feature,fscore
HYCODE,0.003105590062111801
SWCODE,0.006211180124223602
QNT,0.006211180124223602
First_months,0.012422360248447204
USD_AMT,0.043478260869565216
ZCLXCODE,0.09316770186335403
Gsdj_year,0.09627329192546584
ZCZJ,0.2204968944099379
SL_TSE,0.2329192546583851
SL_NUM,0.2857142857142857
